 type    delay1    delay2    orientation    order    axis_response    A_DC    A_DC_dist    Q_DC    A_DF    A_DF_dist    Q_DF    A_DVF    Q_DVF    A_DVF_dist    Q_DVF_dist    A_T    Q_T    A_NT1    A_NT2    A_dist    Q_dist    A_NT1_dist    A_NT2_dist    distance_t_dist  
 3.0    7.0    5.0    0.0    1.0    0.0    207.0    223.5    3.0    298.0    321.3    4.0    27.0    1.0    120.0    2.0    27.0    1.0    207.0    298.0    120.0    2.0    223.5    321.3    93.0  
 1.0    7.0    5.0    1.0    1.0    0.0    129.0    144.4    2.0    24.0    45.6    1.0    306.0    4.0    217.0    3.0    129.0    2.0    24.0    306.0    144.4    2.0    45.6    217.0    15.4  
 3.0    7.0    12.0    0.0    2.0    1.0    294.0    305.0    4.0    27.0    54.2    1.0    144.0    2.0    235.0    3.0    144.0    2.0    294.0    27.0    235.0    3.0    305.0    54.2    91.0  
 1.0    7.0    5.0    1.0    1.0    1.0    36.0    54.9    1.0    119.0    141.8    2.0    242.0    3.0    302.0    4.0    36.0    1.0    119.0    242.0    54.9    1.0    141.8    302.0    18.9  
 3.0    7.0    12.0    0.0    2.0    1.0    312.0    323.3    4.0    212.0    235.8    3.0    124.0    2.0    41.0    1.0    124.0    2.0    312.0    212.0    41.0    1.0    323.3    235.8    83.0  
 3.0    7.0    12.0    0.0    2.0    1.0    220.0    204.8    3.0    335.0    314.8    4.0    126.0    2.0    44.0    1.0    126.0    2.0    220.0    335.0    44.0    1.0    204.8    314.8    82.0  
 3.0    7.0    12.0    0.0    2.0    0.0    146.0    158.7    2.0    20.0    47.9    1.0    232.0    3.0    333.0    4.0    232.0    3.0    146.0    20.0    333.0    4.0    158.7    47.9    101.0  
 1.0    7.0    5.0    1.0    1.0    1.0    213.0    229.9    3.0    312.0    332.6    4.0    25.0    1.0    138.0    2.0    213.0    3.0    312.0    25.0    229.9    3.0    332.6    138.0    16.9  
 3.0    7.0    5.0    0.0    1.0    0.0    140.0    126.3    2.0    62.0    38.7    1.0    328.0    4.0    207.0    3.0    328.0    4.0    140.0    62.0    207.0    3.0    126.3    38.7    121.0  
 1.0    7.0    12.0    -1.0    2.0    1.0    235.0    223.5    3.0    313.0    290.1    4.0    137.0    2.0    50.0    1.0    235.0    3.0    313.0    137.0    223.5    3.0    290.1    50.0    11.5  
 1.0    7.0    12.0    1.0    2.0    0.0    21.0    37.5    1.0    219.0    241.9    3.0    324.0    4.0    156.0    2.0    21.0    1.0    219.0    324.0    37.5    1.0    241.9    156.0    16.5  
 3.0    7.0    5.0    0.0    1.0    1.0    213.0    201.0    3.0    149.0    121.9    2.0    333.0    4.0    47.0    1.0    333.0    4.0    213.0    149.0    47.0    1.0    201.0    121.9    74.0  
 1.0    7.0    12.0    1.0    2.0    0.0    297.0    314.6    4.0    223.0    249.0    3.0    134.0    2.0    66.0    1.0    297.0    4.0    223.0    134.0    314.6    4.0    249.0    66.0    17.6  
 1.0    7.0    12.0    1.0    2.0    0.0    38.0    57.2    1.0    214.0    235.3    3.0    127.0    2.0    308.0    4.0    38.0    1.0    214.0    127.0    57.2    1.0    235.3    308.0    19.2  
 3.0    7.0    5.0    0.0    1.0    0.0    110.0    127.3    2.0    25.0    53.3    1.0    241.0    3.0    290.0    4.0    241.0    3.0    110.0    25.0    290.0    4.0    127.3    53.3    49.0  
 1.0    7.0    12.0    1.0    2.0    0.0    21.0    32.4    1.0    227.0    248.9    3.0    112.0    2.0    333.0    4.0    21.0    1.0    227.0    112.0    32.4    1.0    248.9    333.0    11.4  
 1.0    7.0    12.0    1.0    2.0    0.0    299.0    318.2    4.0    130.0    159.8    2.0    67.0    1.0    214.0    3.0    299.0    4.0    130.0    67.0    318.2    4.0    159.8    214.0    19.2  
 1.0    7.0    12.0    1.0    2.0    0.0    325.0    335.2    4.0    203.0    230.6    3.0    47.0    1.0    119.0    2.0    325.0    4.0    203.0    47.0    335.2    4.0    230.6    119.0    10.2  
 1.0    7.0    12.0    -1.0    2.0    0.0    158.0    146.1    2.0    338.0    315.5    4.0    224.0    3.0    23.0    1.0    158.0    2.0    338.0    224.0    146.1    2.0    315.5    23.0    11.9  
 1.0    7.0    12.0    -1.0    2.0    0.0    153.0    133.4    2.0    246.0    220.2    3.0    324.0    4.0    24.0    1.0    153.0    2.0    246.0    324.0    133.4    2.0    220.2    24.0    19.6  
 3.0    7.0    12.0    0.0    2.0    0.0    220.0    207.9    3.0    323.0    298.4    4.0    47.0    1.0    126.0    2.0    47.0    1.0    220.0    323.0    126.0    2.0    207.9    298.4    79.0  
 1.0    7.0    12.0    1.0    2.0    1.0    315.0    331.8    4.0    40.0    65.9    1.0    237.0    3.0    144.0    2.0    315.0    4.0    40.0    237.0    331.8    4.0    65.9    144.0    16.8  
 1.0    7.0    12.0    1.0    2.0    1.0    233.0    244.5    3.0    119.0    139.5    2.0    66.0    1.0    295.0    4.0    233.0    3.0    119.0    66.0    244.5    3.0    139.5    295.0    11.5  
 3.0    7.0    5.0    0.0    1.0    0.0    224.0    213.8    3.0    156.0    135.2    2.0    27.0    1.0    306.0    4.0    27.0    1.0    224.0    156.0    306.0    4.0    213.8    135.2    81.0  
 3.0    7.0    5.0    0.0    1.0    0.0    314.0    303.1    4.0    59.0    31.3    1.0    221.0    3.0    151.0    2.0    221.0    3.0    314.0    59.0    151.0    2.0    303.1    31.3    70.0  
 3.0    7.0    5.0    0.0    1.0    1.0    141.0    151.8    2.0    213.0    237.9    3.0    321.0    4.0    50.0    1.0    321.0    4.0    141.0    213.0    50.0    1.0    151.8    237.9    89.0  
 1.0    7.0    5.0    1.0    1.0    0.0    299.0    315.0    4.0    115.0    141.1    2.0    40.0    1.0    220.0    3.0    299.0    4.0    115.0    40.0    315.0    4.0    141.1    220.0    16.0  
 3.0    7.0    12.0    0.0    2.0    0.0    40.0    22.3    1.0    336.0    312.1    4.0    216.0    3.0    128.0    2.0    216.0    3.0    40.0    336.0    128.0    2.0    22.3    312.1    88.0  
